,price,area,bedrooms,bathrooms,stories,parking
price,1.0,0.602858858318821,0.39045378624237764,0.47991170895175234,0.36285644938254313,0.36537166939425464
area,0.602858858318821,1.0,0.17619773709081127,0.21379252025662138,0.05776821513002398,0.353259056298364
bedrooms,0.39045378624237764,0.17619773709081127,1.0,0.3771481093779781,0.5042911107278815,0.14677951133537248
bathrooms,0.47991170895175234,0.21379252025662138,0.3771481093779781,1.0,0.3087691339783984,0.1739818139430281
stories,0.36285644938254313,0.05776821513002398,0.5042911107278815,0.3087691339783984,1.0,0.01838948098282762
parking,0.36537166939425464,0.353259056298364,0.14677951133537248,0.1739818139430281,0.01838948098282762,1.0
