,price,area,bedrooms,bathrooms,stories,parking
price,1.0,0.5359973457780797,0.36649402577386964,0.517545339455012,0.42071236618861724,0.38439364863572645
area,0.5359973457780797,1.0,0.1518584855745371,0.1938195310520531,0.08399605092891993,0.35298048121168235
bedrooms,0.36649402577386964,0.1518584855745371,1.0,0.37393023597215413,0.4085642375381521,0.139269896865613
bathrooms,0.517545339455012,0.1938195310520531,0.37393023597215413,1.0,0.32616470613294235,0.17749582102283437
stories,0.42071236618861724,0.08399605092891993,0.4085642375381521,0.32616470613294235,1.0,0.045547091916846645
parking,0.38439364863572645,0.35298048121168235,0.139269896865613,0.17749582102283437,0.045547091916846645,1.0
