,price,area,bedrooms,bathrooms,stories,parking
price,1.0,0.60286,0.39045,0.47991,0.36286,0.36537
area,0.60286,1.0,0.1762,0.21379,0.05777,0.35326
bedrooms,0.39045,0.1762,1.0,0.37715,0.50429,0.14678
bathrooms,0.47991,0.21379,0.37715,1.0,0.30877,0.17398
stories,0.36286,0.05777,0.50429,0.30877,1.0,0.01839
parking,0.36537,0.35326,0.14678,0.17398,0.01839,1.0
